time,open,high,low,close,volume,ema20,ema50,rsi14,atr14,ema50_slope,sin_hour,cos_hour,ret1,atr_pct,y
2025-05-20 14:00:00+00:00,1.12447,1.12502,1.12442,1.12496,649,1.125209807068924,1.1253877545851276,6.456698460484603,0.0006219370649133748,-0.000152245414872354,-0.4999999999999997,-0.8660254037844388,0.0004624524207603731,0.0005528526035711268,0
2025-05-20 14:15:00+00:00,1.12495,1.12517,1.12471,1.12488,553,1.1251783968718838,1.1253678426406128,6.38835906156541,0.0006103701317052698,-0.00014509853585775723,-0.555570233019602,-0.8314696123025455,-7.111363959599881e-05,0.0005426091064871539,0
2025-05-20 14:30:00+00:00,1.12488,1.12497,1.12453,1.12476,732,1.1251385495507522,1.1253440056743143,6.280969206823656,0.0005982008365834645,-0.00013548682856923122,-0.6087614290087207,-0.7933533402912352,-0.00010667804565833716,0.0005318475377711374,0
2025-05-20 14:45:00+00:00,1.12477,1.12482,1.12439,1.12459,781,1.1250863067363948,1.1253144368243413,6.123912928573105,0.0005861864911132121,-0.0001301736196057668,-0.6593458151000688,-0.7518398074789774,-0.0001511433550268615,0.0005212446234745215,0
2025-05-20 15:00:00+00:00,1.12455,1.12472,1.12356,1.12383,833,1.1249666584757858,1.1252562236155437,5.465892906872995,0.0006271731703194149,-0.00014899034040549708,-0.7071067811865471,-0.7071067811865479,-0.0006758018477843741,0.0005580676528651262,0
2025-05-20 15:15:00+00:00,1.12383,1.12383,1.12235,1.12276,983,1.124756500525711,1.1251583324933654,4.700159543954328,0.0006880893724394673,-0.0002294220917622436,-0.7518398074789773,-0.6593458151000691,-0.0009521012964595066,0.00061285526064294,0
2025-05-20 15:30:00+00:00,1.12282,1.12361,1.12276,1.12315,969,1.1246035004756432,1.1250795743563708,9.667522400736473,0.0006996544172652209,-0.00028826828424199924,-0.7933533402912349,-0.6087614290087209,0.00034735829562881904,0.0006229394268487921,0
2025-05-20 15:45:00+00:00,1.12316,1.12367,1.12266,1.12342,842,1.1244907861446296,1.1250144930090622,13.046644602192046,0.0007218219588891305,-0.0003295126652520519,-0.8314696123025452,-0.5555702330196022,0.00024039531674313608,0.0006425219053329391,0
2025-05-20 16:00:00+00:00,1.12338,1.12344,1.12267,1.12283,1158,1.1243326160356173,1.12492882661655,11.991065725510481,0.0007252632475399024,-0.00038561020779126487,-0.8660254037844385,-0.5000000000000004,-0.0005251820334336577,0.000645924358576011,1
2025-05-20 16:15:00+00:00,1.12282,1.12338,1.12248,1.12329,945,1.1242333192703204,1.1248645589060973,17.589479798156148,0.0007377444441442039,-0.0003916647094464043,-0.8968727415326883,-0.44228869021900136,0.0004096791143806122,0.000656771131358958,1
2025-05-20 16:30:00+00:00,1.12329,1.12382,1.12306,1.12344,1132,1.1241577650540995,1.1248086938509563,19.3901917740601,0.000739334126705339,-0.00034963864240911136,-0.9238795325112868,-0.3826834323650895,0.0001335363085224195,0.0006580984535937291,1
2025-05-20 16:45:00+00:00,1.12343,1.12496,1.12342,1.12458,1397,1.12419797790609,1.1247997254646445,31.619267210013916,0.0007965245462263772,-0.0002798488917263864,-0.9469301294951056,-0.3214394653031618,0.0010147404400768778,0.0007082862457329646,1
2025-05-20 17:00:00+00:00,1.12459,1.12658,1.12457,1.1263,1593,1.1243981704864623,1.1248585597601488,45.141738179625115,0.0008832013643530535,-0.0001559332489133869,-0.9659258262890683,-0.25881904510252063,0.0015294598872468423,0.0007841617369733228,1
2025-05-20 17:15:00+00:00,1.12635,1.12682,1.12559,1.12633,1375,1.1245821542496564,1.1249162632989664,45.34475481851803,0.0009079726954706813,-1.2563317583591527e-05,-0.9807852804032303,-0.19509032201612866,2.663588741902423e-05,0.0008061338111128011,0
