fold,pnl,trades,win_rate,max_dd_pct,wins,losses
1,-107616.24662019119,460,79.13043478260869,107.61624662019118,364,96
2,-99409.6472384813,23,95.65217391304348,99.40964723848128,22,1
3,-105800.1735702952,359,77.43732590529248,105.80017357029521,278,81
4,-106544.03646540474,402,74.12935323383084,106.54403646540473,298,104
