accuracy,precision,recall,f1,roc_auc,win_rate
0.6172353455818023,0.4198542805100182,0.6595135908440629,0.5130773511407902,0.6820852185091133,0.4198542805100182
0.6198600174978127,0.42765567765567764,0.6568213783403657,0.5180255130338325,0.6855410443596099,0.42765567765567764
0.6272965879265092,0.4215867158671587,0.6700879765395894,0.5175537938844847,0.6926296794670217,0.4215867158671587
0.6216097987751531,0.4205079962370649,0.6422413793103449,0.5082433200682206,0.677450661461722,0.4205079962370649
0.6058617672790901,0.38669064748201437,0.662557781201849,0.488358886996025,0.6783181305198638,0.38669064748201437
0.6307961504811899,0.4230038022813688,0.6524926686217009,0.5132641291810842,0.7018469222837335,0.4230038022813688
0.6185476815398075,0.4128274616079494,0.6730486008836525,0.5117581187010078,0.6945203834842593,0.4128274616079494
0.6233595800524935,0.42246982358402974,0.6556195965417867,0.5138339920948617,0.6923911705501572,0.42246982358402974
0.6093613298337708,0.38769804287045667,0.6380368098159509,0.48231884057971014,0.6839129765489483,0.38769804287045667
0.615923009623797,0.3916279069767442,0.6527131782945736,0.48953488372093024,0.6811057730916581,0.3916279069767442
0.6233595800524935,0.4197183098591549,0.6478260869565218,0.5094017094017094,0.6885088627365515,0.4197183098591549
0.6032370953630796,0.40255009107468126,0.6378066378066378,0.4935790061418202,0.6733472289027844,0.40255009107468126
0.6062992125984252,0.39823788546255506,0.6756352765321375,0.5011086474501109,0.6742634545325128,0.39823788546255506
0.6150481189851269,0.42792384406165007,0.6546463245492372,0.5175438596491229,0.6819690437048295,0.42792384406165007
0.6084864391951006,0.4019873532068654,0.6563421828908554,0.49859943977591037,0.678499097433188,0.4019873532068654
0.636920384951881,0.4309859154929577,0.6720351390922401,0.5251716247139588,0.7094119828396427,0.4309859154929577
0.6233595800524935,0.42452830188679247,0.6419400855920114,0.5110732538330494,0.6800384309031262,0.42452830188679247
0.6325459317585301,0.43956043956043955,0.6779661016949152,0.5333333333333333,0.7035634751849226,0.43956043956043955
0.6255468066491688,0.4293628808864266,0.6614509246088194,0.5207166853303471,0.6910906151688144,0.4293628808864266
0.6176727909011374,0.4243243243243243,0.6671388101983002,0.5187224669603524,0.6843896797791086,0.4243243243243243
0.5984251968503937,0.39748201438848924,0.6405797101449275,0.49056603773584906,0.6685726998656061,0.39748201438848924
0.6185476815398075,0.4142857142857143,0.6286127167630058,0.49942594718714123,0.6726797020619228,0.4142857142857143
0.6146106736657918,0.41209302325581393,0.6401734104046243,0.5014148273910582,0.6752652649748696,0.41209302325581393
0.626421697287839,0.42234848484848486,0.6463768115942029,0.5108820160366552,0.6804452253822965,0.42234848484848486
0.6189851268591426,0.4090056285178236,0.6440177252584933,0.5002868617326449,0.6803128267601095,0.4090056285178236
0.6111111111111112,0.40484739676840215,0.6661742983751846,0.5036292573981016,0.6847423053301545,0.40484739676840215
0.615923009623797,0.41495327102803736,0.6379310344827587,0.5028312570781427,0.678908678522374,0.41495327102803736
