fold,train_bars,test_bars,allowed_bars,pct_allowed,auc,accuracy,n_trades,total_pnl,win_rate,wins,losses
1,29907,4984,1624,32.58426966292135,0.7786616396435998,0.8793103448275862,380,-8611.373176789857,0.5342105263157895,203,177
2,34891,4984,1641,32.92536115569823,0.7783571097524586,0.8324192565508836,57,-551.2115774070844,0.6140350877192983,35,22
3,39875,4984,1547,31.03932584269663,0.8011515239038346,0.8694246929541047,341,-10506.26744499251,0.4868035190615836,166,175
4,44859,4984,1374,27.568218298555376,0.823391567312627,0.88136826783115,289,-7873.704815010249,0.4671280276816609,135,154
