fold,train_bars,test_bars,confidence_filtered,regime_filtered,final_bars,pct_traded,auc,accuracy,avg_confidence,n_trades,total_pnl,win_rate,wins,losses,avg_win,avg_loss,selected_features
1,6951,1158,707,254,254,21.934369602763386,0.6260826281732205,0.8070866141732284,0.6622480324764104,91,-298858.9066737909,0.5494505494505495,50,41,0.00035949265689784243,-0.00042236318970072045,"ema50,ema20,atr_pct,volume,cos_hour"
2,8109,1158,699,242,242,20.898100172711572,0.4604417436017296,0.8181818181818182,0.6568254235297287,88,-330289.41508490324,0.375,33,55,0.00046076711725950685,-0.0003120520639774518,"low,ema50,atr_pct,volume,cos_hour"
3,9267,1158,311,96,96,8.290155440414509,0.49317226890756305,0.7083333333333334,0.6540681515364589,34,-180802.27158425865,0.47058823529411764,16,18,0.00046063751415306253,-0.00044560698927092676,"ema50,atr14,volume,atr_pct,cos_hour"
4,10425,1158,759,261,261,22.53886010362694,0.5527868852459016,0.7624521072796935,0.6705514863241915,95,-406561.1133631323,0.3894736842105263,37,58,0.00044284123169182493,-0.00038160412887133945,"ema50_slope,atr14,atr_pct,volume,cos_hour"
