fold,train_bars,test_bars,allowed_bars,pct_allowed,auc,accuracy,n_trades,total_pnl,win_rate,wins,losses
1,29907,4984,4984,100.0,0.7646015334666548,0.8653691813804173,529,-5664.128801330968,0.6635160680529301,351,178
2,34891,4984,4984,100.0,0.7559248865001496,0.8226324237560193,38,516.8628168686118,0.7631578947368421,29,9
3,39875,4984,4984,100.0,0.7795226292170109,0.8701845906902087,430,-2974.867768149619,0.7023255813953488,302,128
4,44859,4984,4984,100.0,0.7907919470176509,0.8770064205457464,517,-5125.714996692506,0.6537717601547389,338,179
