fold,train_bars,test_bars,allowed_bars,pct_allowed,auc,accuracy,n_trades,total_pnl,win_rate,wins,losses,avg_win,avg_loss
1,29997,4999,4999,100.0,0.4696680812611944,0.6507301460292059,38,-1914.4963254980103,0.3684210526315789,14,24,0.00023782519115856074,-0.00041884642974359987
2,34996,4999,4999,100.0,0.5031605196010207,0.3034606921384277,1045,-39423.40489189937,0.43923444976076553,459,586,0.0002604018604321257,-0.00037070007647762817
3,39995,4999,4999,100.0,0.49831724415098205,0.5689137827565514,21,-1485.7994507137191,0.14285714285714285,3,18,0.00023149136641511644,-0.00040582362966613784
4,44994,4999,4999,100.0,0.5279161302038593,0.6409281856371274,54,-1779.53654898674,0.5,27,27,0.00023084459418546392,-0.0003512024476490251
