fold,train_samples,test_samples,auc,acc,equity,trades,winrate,profit_factor,total_pnl
1,6951,1158,0.654467434462009,0.7478411053540587,1022.2182887301252,297,0.2558922558922559,0.24179916585589156,-8977.781711269874
2,8109,1158,0.5788171750181554,0.727979274611399,-5498.270578358687,363,0.21212121212121213,0.17141680296718179,-15498.270578358686
3,9267,1158,0.6058204213995697,0.6079447322970639,478.3690388512079,221,0.19004524886877827,0.12897076587966116,-9521.630961148792
4,10425,1158,0.6393866898651587,0.5967184801381693,4773.376542749407,137,0.145985401459854,0.11273420449544065,-5226.623457250593
