Strategy,Total PnL,Total Trades,Avg Win Rate,Avg AUC,Profitable Folds,Profitability %,% Traded,Worst Fold,Best Fold,Volatility,Sharpe-like,PnL per Trade
RF (No Filter),-3143765.3396939086,826,0.42876563637252946,0.5760093181623233,0/4,0.0,100.0,-1421555.7149998054,-449722.8222481656,448458.2888511192,-7.010162188656941,-3806.0113071354826
RF + Regime,-900978.2425836413,207,0.510579954954955,0.5824996183298528,0/4,0.0,24.30915371329879,-291208.37178042106,-135694.1036560825,65654.11851327754,-13.723103180517644,-4352.55189653933
LC (k=100) + Regime + Conf,-1216511.706706085,308,0.4461281172387983,0.5331208814821037,0/4,0.0,18.4153713298791,-406561.1133631323,-180802.27158425865,93833.11602030651,-12.964630807345443,-3949.713333461315
