fold,train_bars,test_bars,test_sequences,regime_filtered,pct_traded,auc,accuracy,n_trades,total_pnl,win_rate,wins,losses,avg_win,avg_loss
1,29997,4999,4939,1604,32.47620975906054,0.4455185632734697,0.871571072319202,593,-2227628.6134384517,0.45193929173693087,268,325,0.00025826856617304554,-0.0003593286189781176
2,34996,4999,4939,1633,33.06337315246001,0.5285210517137819,0.8658909981628904,597,-2291813.1631190786,0.44221105527638194,264,333,0.00023211810766425792,-0.00034143555263467897
3,39995,4999,4939,1538,31.1399068637376,0.5630004170141785,0.8582574772431729,561,-2373028.894622336,0.4295900178253119,241,320,0.00021915537985808846,-0.0003614061930981415
4,44994,4999,4939,1345,27.232233245596277,0.5243124356027582,0.8527881040892193,493,-1801208.1321744593,0.4259634888438134,210,283,0.00028745877305890735,-0.00033768489848553287
