fold,pnl,trades,win_rate,max_dd_pct,wins,losses
1,25473.059964340093,495,74.94949494949495,3.5590285263106205,371,124
2,7998.259482153677,31,90.32258064516128,0.6712395912610541,28,3
3,32610.93011165154,409,78.4841075794621,6.627518139068912,321,88
4,28401.337677728792,482,75.72614107883817,4.5418488734785445,365,117
