fold,train_bars,test_bars,allowed_bars,pct_allowed,auc,accuracy,n_trades,total_pnl,win_rate,wins,losses,avg_win,avg_loss
1,6951,1158,327,28.238341968911918,0.652850342505515,0.6850152905198776,25,-135694.1036560825,0.56,14,11,0.00019436503738471238,-0.00015803263262053423
2,8109,1158,322,27.806563039723663,0.5082288401253919,0.7515527950310559,60,-225148.47283463832,0.5166666666666667,31,29,0.00034769384632538645,-0.0003510026557921764
3,9267,1158,158,13.644214162348877,0.5500505561172903,0.7278481012658228,48,-248927.29431249943,0.4791666666666667,23,25,0.00039858077335534753,-0.0004837885029590894
4,10425,1158,319,27.54749568221071,0.6188687345712139,0.7523510971786834,74,-291208.37178042106,0.4864864864864865,36,38,0.00030796587510383374,-0.0003307938580344701
