fold,train_bars,test_bars,allowed_bars,pct_allowed,auc,accuracy,n_trades,total_pnl,win_rate,wins,losses,avg_win,avg_loss
1,6951,1158,1158,100.0,0.5708581583294007,0.6018998272884283,109,-449722.8222481656,0.41284403669724773,45,64,0.0004290732060141429,-0.0004043915474408273
2,8109,1158,1158,100.0,0.569487564818179,0.6424870466321243,150,-492234.6525581666,0.44,66,84,0.0004002137885940498,-0.0003477003025659666
3,9267,1158,1158,100.0,0.5471333068458601,0.6502590673575129,354,-1421555.7149998054,0.4209039548022599,149,205,0.0005505921145524125,-0.0005547114514048848
4,10425,1158,1158,100.0,0.6165582426558535,0.6994818652849741,213,-780252.1498877709,0.4413145539906103,94,119,0.0003712984797648152,-0.00039075509490488593
