fold,train_bars,test_bars,allowed_bars,pct_allowed,auc,accuracy,n_trades,total_pnl,win_rate,wins,losses,avg_win,avg_loss
1,29997,4999,1609,32.186437287457494,0.49080334096838263,0.6569297700435053,1,-14.054439888102934,1.0,1,0,6.709610672441557e-05,0.0
2,34996,4999,1658,33.166633326665334,0.519432406853955,0.2744270205066345,388,-15006.364173819165,0.4381443298969072,170,218,0.00021343902727273285,-0.00034435463700029003
3,39995,4999,1548,30.966193238647726,0.48640470974808325,0.5872093023255814,3,-251.64485381831764,0.0,0,3,0.0,-0.0004047503966549939
4,44994,4999,1376,27.525505101020205,0.575412300201122,0.6351744186046512,1,-29.083157174653024,0.0,0,1,0.0,-3.357867285984283e-05
